id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.59804E+17,Apartamento Sol/ Plaza Mayor/Palacio,300047705,Yadira,Centro,Sol,40.41713,-3.70718,Entire home/apt,78,1,0,,,6,107,0,NA
8.59835E+17,Habitacion tranquila y luminosa,508014909,Arquimedes,Villaverde,San Andrés,40.34558226,-3.710972058,Private room,25,1,25,19/03/2024,2.62,1,0,25,NA
8.59974E+17,Quiet & central room in Madrid,26592312,Vanessa,Centro,Palacio,40.40863038,-3.711215684,Private room,65,3,15,04/03/2024,1.48,1,251,15,NA
8.57897E+17,Espectacular loft en Madrid Río,466380030,Mundoarea,Usera,Moscardó,40.39180869,-3.702138904,Entire home/apt,102,2,44,17/03/2024,3.82,2,307,44,NA
8.59984E+17,Cozy flat 15 min from centre,56871928,Joey,Puente de Vallecas,Palomeras Bajas,40.3896354,-3.657986261,Private room,29,3,11,02/03/2024,0.96,2,365,11,NA
8.57919E+17,Disfruta de este  Apartamento junto al Metro,402837283,Pablo,Carabanchel,Vista Alegre,40.3874931,-3.736104593,Entire home/apt,87,7,28,05/03/2024,2.39,6,15,28,NA
8.57931E+17,Estudio en el corazón de Madrid,55127133,Cristina,Centro,Embajadores,40.4116103,-3.701175861,Entire home/apt,82,4,68,12/03/2024,5.75,5,99,68,NA
8.60003E+17,Habitación Luminosa*.* Con Ascensor•,366306347,Sandra,Carabanchel,Abrantes,40.3769379,-3.7310665,Private room,29,1,57,31/01/2024,5.04,1,288,57,NA
8.60126E+17,Cheap apartment downtown subway,508072848,Boyang,Carabanchel,Puerta Bonita,40.3809661,-3.7315887,Entire home/apt,,2,13,01/07/2023,1.24,1,0,13,NA
8.57948E+17,Ático en el centro de Madrid,27257075,Marina,Chamberí,Arapiles,40.43007132,-3.710370996,Entire home/apt,65,2,0,,,1,271,0,NA
